opinion,user_description,review
Opinión sobre BBVA,"Solo he precisado 2 veces de usar el servicio de atención al cliente. Las dos veces se pone un contestador automático, me pregunta que necesito, y en menos de 5 segundos estoy hablando con un gestor (persona física) de BBVA. Mi opinión es muy buena. Y el trato tanto al teléfono como en la oficina cuando he ido, ha sido exceltente.",5.0
Opinión sobre Tarjeta Antes,Una maravilla,4.0
Opinión sobre BBVA,Buenas! Llevo desde marzo esperando respuesta del gestor sobre un seguro de un inmueble. Ponen tremendamente difícil poder compaginar el trabajo con sus honorarios de atención al cliente. Pésimo!,1.0
Opinión sobre BBVA,Solicitas ayuda por la solapa AYUDA del homebanking y responden en 30 días o no responden. Horrible atención al cliente.,1.0
Opinión sobre BBVA,"Horrible,recibi un rembolso hace meses en una tarjeta cancelada,lo cual tiene BBVA retenido ese importe,tras llamar decenas de veces porque en oficina no me arienden sin cita y pedir cita me dan largas en cuanto les digo que me sevulevan el dinero,se limitan a decir que está ahi y que ya me llamarían de mi oficina,son unos mentirosos,no llaman ni dan cita para devolver dinero,se han quedado mi dinero y no ne lo dan,encima me mandan un sms diciendo que han cerrado la incidencia por desfavorable",1.0
Opinión sobre BBVA,"Muy mal servicio, en la oficina no atienden y  te envían a que hables con el gestor y el gestor nunca contesta y las pocas veces que contactas con él, no soluciona nada así que no sabes a quién acudir.",1.0
Opinión sobre BBVA,"Desde la COVID tienen los cajeros internos cerrados, quién sabe por que razón. Nos toca realizar cualquier ingreso desde cajeros exteriores lo cual no lleva a hacerlo de prisa y corriendo. Ayer deposite una buena suma de dinero y el cajero dió error y se los tragó sin dejarme constancia. No tienen ningún protocolo de urgencia, me insta a que espere con paciencia a que se haga el arqueo y nadie absolutamente nadie me dá una certeza de que mi dinero vaya a estar. Son una vergúenza de banco.",1.0
Opinión sobre BBVA,"Una verguenza en estos tiempos difíciles 
Estando en Erte me han dejado sin pagar facturas por el retraso cuando con nómina no pasaba además  los intereses son enormes.
Cuando ha tenido que ser rescatados estuvimos alli y ahora nos dejan en la estacada.
Cambiare de banco",1.0
Opinión sobre Cuenta Online Sin Comisiones,No me han dejado abrir la cuenta.,2.0
Opinión sobre BBVA,Esperiencia fatal.  No atienden los que no son clientes. Ayer despues de una hora y viendo atendido muchas personas llegada despues de mi he tenido que irme. Nunca abrira una cuenta aqui.,1.0
Opinión sobre Cuenta Online Sin Comisiones,    ,5.0
Opinión sobre BBVA,    ,1.0
Opinión sobre BBVA,"    Hasta ahora muy bien, la abertura fue muy fácil y cómoda.",1.0
Opinión sobre BBVA,    ,1.0
Opinión sobre BBVA,,5.0
Opinión sobre BBVA,Buenas. Hice un ingreso de 24000e pasados dos dias voy ventanilla para cambiar un billete de 200 en billetes de 50 y me dicen que no. Que tengo ingresar en cuenta. Sacare las 4 cuentas que tengo. Gracias,1.0
Opinión sobre BBVA,"Y porque no les puedo dar menos. Tengo 21 años y me cobran 50€ por mantenimiento de cuenta y 40€ por la tarjeta. ¿Pero vosotros creéis que estando el país como está los jóvenes sudamos dinero o qué? Que me tengo que pagar una carrera chavales. Encima la atención al cliente desastrosa, me trataron como si fuera estúpida. Nunca más",1.0
"Opinión sobre Oficina 6368 en Puig, Del","Sobre oficina 667, penoso, personal incompetente. Hace más de 15 días que solicitamos una hipoteca y después de llevar asta la partida de nacimiento, no obtenemos contestación de si esta concedida o no, primero que si la directora que es la tramita los papeles se fue de vacaciones, después que si ya te llamaremos,el caso es que ha pasado ya más de 15 días y sin contestación.",1.0
Opinión sobre BBVA,"La única manera de que BBVA no me cobre más comisiones ha sido cancelar mi cuenta me cansé de expedientes caducados y mentiras, eso sí, el dinero no lo ves más",1.0
Opinión sobre BBVA,"Pues que vamos a CANCELAR LA CUENTA, debido al MAL TRATO a una persona mayor que no sabe utilizar el cajero. Y los CAJEROS AUTOMATICOS CERRADOS POR LAS TARDES Y FIN DE SEMANA.",1.0
